index,2026-01-31 00:00:00,2025-01-31 00:00:00,2024-01-31 00:00:00,2023-01-31 00:00:00,2022-01-31 00:00:00,statement_type
Tax Effect Of Unusual Items,92665000.0,-97194000.0,-207460000.0,-224070000.0,,financials
Tax Rate For Calcs,0.215,0.167,0.164,0.21,,financials
Normalized EBITDA,12117000000.0,11725000000.0,11223000000.0,6711000000.0,,financials
Total Unusual Items,431000000.0,-582000000.0,-1265000000.0,-1067000000.0,,financials
Total Unusual Items Excluding Goodwill,431000000.0,-582000000.0,-1265000000.0,-1067000000.0,,financials
Net Income From Continuing Operation Net Minority Interest,7457000000.0,6197000000.0,4136000000.0,208000000.0,,financials
Reconciled Depreciation,3631000000.0,3477000000.0,3959000000.0,3786000000.0,,financials
Reconciled Cost Of Revenue,6634000000.0,6067000000.0,5473000000.0,8360000000.0,,financials
EBITDA,12548000000.0,11143000000.0,9958000000.0,5644000000.0,,financials
EBIT,8917000000.0,7666000000.0,5999000000.0,1858000000.0,,financials
Normalized Income,7118665000.0,6681806000.0,5193540000.0,1050930000.0,,financials
Net Income From Continuing And Discontinued Operation,7457000000.0,6197000000.0,4136000000.0,208000000.0,,financials
Total Expenses,32608000000.0,30229000000.0,28858000000.0,29494000000.0,,financials
Total Operating Income As Reported,8331000000.0,7205000000.0,5011000000.0,1030000000.0,,financials
Diluted Average Shares,956000000.0,974000000.0,984000000.0,997000000.0,,financials
Basic Average Shares,950000000.0,962000000.0,974000000.0,992000000.0,,financials
Diluted EPS,7.8,6.36,4.2,0.21,,financials
Basic EPS,7.85,6.44,4.25,0.21,,financials
Diluted NI Availto Com Stockholders,7457000000.0,6197000000.0,4136000000.0,208000000.0,,financials
Net Income Common Stockholders,7457000000.0,6197000000.0,4136000000.0,208000000.0,,financials
Net Income,7457000000.0,6197000000.0,4136000000.0,208000000.0,,financials
Net Income Including Noncontrolling Interests,7457000000.0,6197000000.0,4136000000.0,208000000.0,,financials
Net Income Continuous Operations,7457000000.0,6197000000.0,4136000000.0,208000000.0,,financials
Tax Provision,2063000000.0,1241000000.0,814000000.0,452000000.0,,financials
Pretax Income,9520000000.0,7438000000.0,4950000000.0,660000000.0,,financials
Other Income Expense,603000000.0,-228000000.0,-1049000000.0,-1198000000.0,,financials
Other Non Operating Income Expenses,172000000.0,354000000.0,216000000.0,-131000000.0,,financials
Special Income Charges,-1082000000.0,-1043000000.0,-1454000000.0,-1319000000.0,,financials
Write Off,496000000.0,582000000.0,466000000.0,491000000.0,,financials
Restructuring And Mergern Acquisition,586000000.0,461000000.0,988000000.0,828000000.0,,financials
Gain On Sale Of Security,1513000000.0,461000000.0,189000000.0,252000000.0,,financials
Operating Income,8917000000.0,7666000000.0,5999000000.0,1858000000.0,,financials
Operating Expense,23338000000.0,21586000000.0,20317000000.0,21134000000.0,,financials
Depreciation Amortization Depletion Income Statement,995000000.0,901000000.0,891000000.0,916000000.0,,financials
Depreciation And Amortization In Income Statement,995000000.0,901000000.0,891000000.0,916000000.0,,financials
Amortization,995000000.0,901000000.0,891000000.0,916000000.0,,financials
Amortization Of Intangibles Income Statement,995000000.0,901000000.0,891000000.0,916000000.0,,financials
Research And Development,5993000000.0,5493000000.0,4906000000.0,5055000000.0,,financials
